Timestamp,Generation,Best fitness,Avg fitness
2024-05-01 00:56:20.629270,0,-92.38204776686311,-124.35203615932782
2024-05-01 00:56:41.096810,1,-70.1784254598169,-121.89888932492966
2024-05-01 00:56:58.240619,2,-86.46708122292469,-124.27128051172136
2024-05-01 00:57:12.985809,3,-85.45124898349825,-120.18104490645459
2024-05-01 00:57:35.093994,4,-89.50069577723067,-125.10401914842066
2024-05-01 00:57:51.506622,5,-72.12509607286894,-121.88023253511126
2024-05-01 00:58:07.719524,6,-88.14636358361534,-120.43791915509333
2024-05-01 00:58:25.906480,7,-92.78817534703495,-123.08409826987013
2024-05-01 00:58:41.463200,8,-89.37738580565886,-122.04738121675075
2024-05-01 00:58:59.120294,9,-21.73705040131744,-121.30788862614419
2024-05-01 00:59:16.461226,10,-53.69738471848744,-120.97740511022883
2024-05-01 00:59:34.587464,11,-94.57230694510642,-122.56293356943134
2024-05-01 00:59:52.386357,12,-89.1298740747816,-121.83945030846851
2024-05-01 01:00:11.748561,13,-87.45000813031804,-124.32876323530891
2024-05-01 01:00:32.426989,14,-88.52090998506021,-123.48398882358084
2024-05-01 01:00:51.562471,15,-85.3677424817699,-122.71941335767872
2024-05-01 01:01:11.823989,16,-59.348358516055576,-121.56215084941864
2024-05-01 01:01:29.569635,17,-81.03135521190453,-121.4268332946083
2024-05-01 01:01:48.808791,18,-93.40463630212862,-124.52144149705302
2024-05-01 01:02:08.016330,19,-64.02859564480389,-121.47012078503968
2024-05-01 01:02:26.285477,20,-1.8028311617381902,-122.2585478851084
2024-05-01 01:02:44.553747,21,-94.02443456078906,-123.9802735638416
2024-05-01 01:03:03.177538,22,-72.09029335363704,-123.04636456264353
2024-05-01 01:03:21.420723,23,-73.8900270209866,-123.14401075318497
2024-05-01 01:03:39.758544,24,-86.13547620218793,-121.74077717923207
2024-05-01 01:04:00.043947,25,-99.491645719134,-125.36886610893902
2024-05-01 01:04:18.209458,26,-28.892710490114354,-122.38997515028281
2024-05-01 01:04:36.546411,27,-68.20189514018901,-123.03885500722821
2024-05-01 01:04:55.316937,28,-56.66390446763768,-122.15834279293635
2024-05-01 01:05:13.620490,29,-54.87424830269259,-121.16896112574524
2024-05-01 01:05:30.667808,30,6.510311302123154,-119.85021266662174
2024-05-01 01:05:52.016834,31,-47.60469601418292,-125.19903282915766
2024-05-01 01:06:11.632439,32,-73.7872813101922,-121.42342938738214
2024-05-01 01:06:29.927043,33,-78.42387719905862,-122.8348595327428
2024-05-01 01:06:51.141413,34,-87.28153703371463,-126.60904811619241
2024-05-01 01:07:08.422136,35,-66.25873866763814,-122.03851920613151
2024-05-01 01:07:27.462700,36,-75.58659909634778,-124.17271642814462
2024-05-01 01:07:45.986288,37,-73.70045716509928,-121.21548034655999
2024-05-01 01:08:03.060243,38,-3.434941978667142,-121.25477223433728
2024-05-01 01:08:22.277918,39,-74.90741687498537,-123.78689858967682
2024-05-01 01:08:37.808360,40,-94.85900202791781,-121.27374262154771
2024-05-01 01:08:56.134577,41,-77.95200539375699,-122.04911158250596
2024-05-01 01:09:14.033513,42,-36.670562958452265,-120.67715498255347
2024-05-01 01:09:31.085864,43,-66.5377912041022,-121.98265837517039
2024-05-01 01:09:49.247962,44,-80.33809851095411,-123.19116573659586
2024-05-01 01:10:06.574299,45,-94.72745415808028,-122.61732916391122
2024-05-01 01:10:22.245720,46,-58.386154586772875,-119.78736323641787
2024-05-01 01:10:39.080225,47,-72.5003208248793,-121.29355163859113
2024-05-01 01:10:56.765914,48,-92.07836058479282,-121.71067393205529
2024-05-01 01:11:17.620766,49,-69.33992862399595,-123.94656298096757
2024-05-01 01:11:36.422207,50,-95.53343447247383,-122.5171722999632
2024-05-01 01:11:53.936814,51,-75.27362452207804,-121.73504119478893
2024-05-01 01:12:11.152840,52,-60.020945423097,-121.49391931044504
2024-05-01 01:12:29.820130,53,-66.33522037832185,-121.02181342274858
2024-05-01 01:12:50.822920,54,-55.19630043518363,-122.29132750188609
2024-05-01 01:13:10.618937,55,-98.6149937068581,-125.94475344149846
2024-05-01 01:13:26.523362,56,-94.5763814721644,-120.03382978469386
2024-05-01 01:13:47.681997,57,-32.095790223385045,-123.65929572296021
2024-05-01 01:14:08.053140,58,-86.99722339621867,-121.74099565059586
2024-05-01 01:14:27.964579,59,-49.891280635870416,-123.14048602929842
2024-05-01 01:14:47.681073,60,-97.54842210427701,-123.68774176933141
2024-05-01 01:15:06.800851,61,-62.46422718672547,-123.96264818508847
2024-05-01 01:15:24.661761,62,-91.3445202580571,-120.07317716452553
2024-05-01 01:15:41.829186,63,-12.969914670494017,-122.07292992268849
2024-05-01 01:15:59.332759,64,-46.73901071967456,-121.69570234903938
2024-05-01 01:16:16.607382,65,-51.24983244300199,-120.83802055231459
2024-05-01 01:16:34.408978,66,-85.45737963351132,-121.44321357567243
2024-05-01 01:16:53.555734,67,-81.56219222576622,-123.43913168542429
2024-05-01 01:17:12.314670,68,-63.113045244083764,-122.42707079625524
2024-05-01 01:17:30.308254,69,-78.56430471124727,-121.44741653836168
2024-05-01 01:17:47.566538,70,-46.753148463079086,-122.83046313807165
2024-05-01 01:18:08.174460,71,-71.77827790265789,-124.98531371871195
2024-05-01 01:18:26.169368,72,-91.96194622911327,-122.8427682624353
2024-05-01 01:18:43.973098,73,-8.908431109740784,-122.16634428336043
2024-05-01 01:19:01.620485,74,-81.28370800824617,-122.29275427966157
2024-05-01 01:19:19.083784,75,-82.36757378764712,-122.9314513993578
2024-05-01 01:19:38.199132,76,-89.0152807793003,-122.05506327375504
2024-05-01 01:19:58.304792,77,-98.59219645108874,-125.49555487116042
2024-05-01 01:20:16.426285,78,-85.32976806632587,-123.90606355986445
2024-05-01 01:20:33.948688,79,-66.41944896609144,-121.68544673820762
2024-05-01 01:20:51.776649,80,-67.36205811551777,-122.84945334067179
